region.code,date,hour,pred
FRANCE,2017-07-12,00:00,46490
FRANCE,2017-07-12,00:15,45034
FRANCE,2017-07-12,00:30,43551
FRANCE,2017-07-12,00:45,45553
FRANCE,2017-07-12,1:00,42661
FRANCE,2017-07-12,1:15,42318
FRANCE,2017-07-12,1:30,42264
FRANCE,2017-07-12,1:45,43200
FRANCE,2017-07-12,2:00,41638
FRANCE,2017-07-12,2:15,40939
FRANCE,2017-07-12,2:30,40406
FRANCE,2017-07-12,2:45,42330
FRANCE,2017-07-12,3:00,39851
FRANCE,2017-07-12,3:15,39911
FRANCE,2017-07-12,3:30,39971
FRANCE,2017-07-12,3:45,40031
FRANCE,2017-07-12,4:00,39341
FRANCE,2017-07-12,4:15,39552
FRANCE,2017-07-12,4:30,36353
FRANCE,2017-07-12,4:45,38943
FRANCE,2017-07-12,5:00,39705
FRANCE,2017-07-12,5:15,40422
FRANCE,2017-07-12,5:30,37142
FRANCE,2017-07-12,5:45,39181
FRANCE,2017-07-12,6:00,37895
FRANCE,2017-07-12,6:15,42177
FRANCE,2017-07-12,6:30,43178
FRANCE,2017-07-12,6:45,40376
FRANCE,2017-07-12,7:00,44274
FRANCE,2017-07-12,7:15,47874
FRANCE,2017-07-12,7:30,46714
FRANCE,2017-07-12,7:45,46800
FRANCE,2017-07-12,8:00,48657
FRANCE,2017-07-12,8:15,49619
FRANCE,2017-07-12,8:30,47356
FRANCE,2017-07-12,8:45,48118
FRANCE,2017-07-12,9:00,50735
FRANCE,2017-07-12,9:15,50963
FRANCE,2017-07-12,9:30,50448
FRANCE,2017-07-12,9:45,50621
FRANCE,2017-07-12,10:00,52069
FRANCE,2017-07-12,10:15,52410
FRANCE,2017-07-12,10:30,51199
FRANCE,2017-07-12,10:45,51156
FRANCE,2017-07-12,11:00,51040
FRANCE,2017-07-12,11:15,54085
FRANCE,2017-07-12,11:30,53424
FRANCE,2017-07-12,11:45,51980
FRANCE,2017-07-12,12:00,51744
FRANCE,2017-07-12,12:15,52292
FRANCE,2017-07-12,12:30,54179
FRANCE,2017-07-12,12:45,52957
FRANCE,2017-07-12,13:00,52620
FRANCE,2017-07-12,13:15,52403
FRANCE,2017-07-12,13:30,52467
FRANCE,2017-07-12,13:45,52239
FRANCE,2017-07-12,14:00,52528
FRANCE,2017-07-12,14:15,53042
FRANCE,2017-07-12,14:30,53099
FRANCE,2017-07-12,14:45,53157
FRANCE,2017-07-12,15:00,50938
FRANCE,2017-07-12,15:15,50988
FRANCE,2017-07-12,15:30,50810
FRANCE,2017-07-12,15:45,50860
FRANCE,2017-07-12,16:00,50421
FRANCE,2017-07-12,16:15,49969
FRANCE,2017-07-12,16:30,49939
FRANCE,2017-07-12,16:45,49565
FRANCE,2017-07-12,17:00,49827
FRANCE,2017-07-12,17:15,49877
FRANCE,2017-07-12,17:30,48813
FRANCE,2017-07-12,17:45,49083
FRANCE,2017-07-12,18:00,52323
FRANCE,2017-07-12,18:15,51348
FRANCE,2017-07-12,18:30,49423
FRANCE,2017-07-12,18:45,49907
FRANCE,2017-07-12,19:00,52131
FRANCE,2017-07-12,19:15,51939
FRANCE,2017-07-12,19:30,51185
FRANCE,2017-07-12,19:45,50165
FRANCE,2017-07-12,20:00,49258
FRANCE,2017-07-12,20:15,48466
FRANCE,2017-07-12,20:30,48334
FRANCE,2017-07-12,20:45,47761
FRANCE,2017-07-12,21:00,47728
FRANCE,2017-07-12,21:15,48335
FRANCE,2017-07-12,21:30,47972
FRANCE,2017-07-12,21:45,48115
FRANCE,2017-07-12,22:00,48031
FRANCE,2017-07-12,22:15,48460
FRANCE,2017-07-12,22:30,49322
FRANCE,2017-07-12,22:45,50875
FRANCE,2017-07-12,23:00,50063
FRANCE,2017-07-12,23:15,51066
FRANCE,2017-07-12,23:30,51140
FRANCE,2017-07-12,23:45,50114
